,No.,Job_Company,Job_Title,Job_Description,Education_level,Skills_Requirement
62,63,德昂資訊股份有限公司,系統分析和運維工程師--高雄,"系統分析和運維工程師

崗位職責：
1. 負責分析型應用軟體的需求調研和設計。
2. 負責和開發人員溝通需求，確保産品開發符合要求。
3. 負責分析型應用產品的售前和落地
4. 擅長PPT製作，需求文檔撰寫和設計，熟悉軟體開發流程
5. 提供現有系統的運維支持和服務
6. 參與數倉維護和BI開發

任職要求：
1. 具備系統分析和資料分析雙重的經驗和能力
2. 有OA、CRM、ERP, BI 等相關領域產品和服務開發和實施經驗
3. 對于會員管理，積分計畫，財務管理，人資管理和資料分析等有很好的理解和深度的認知。
",專科以上,"系統分析和運維工程師

崗位職責：
1. 負責分析型應用軟體的需求調研和設計。
2. 負責和開發人員溝通需求，確保産品開發符合要求。
3. 負責分析型應用產品的售前和落地
4. 擅長PPT製作，需求文檔撰寫和設計，熟悉軟體開發流程
5. 提供現有系統的運維支持和服務
6. 參與數倉維護和BI開發

任職要求：
1. 具備系統分析和資料分析雙重的經驗和能力
2. 有OA、CRM、ERP, BI 等相關領域產品和服務開發和實施經驗
3. 對于會員管理，積分計畫，財務管理，人資管理和資料分析等有很好的理解和深度的認知。
[]1. 2年及以上BI專案經驗（BI產品不限），對ETL、建模、報表開發、需求調查與設計有完整經驗；
2. 熟練使用Oracle、SQL Server或MySQL等主流資料庫，精通SQL語言；
3. 熟悉Tomcat、Jboss、Weblogic等主流伺服器的安裝及佈署；
4. 熟悉MicroStrategy、Cognos、BO或BIEE等BI工具者尤佳；
5. 有較好的溝通和文字、口語表達能力，能快速融入大團隊，並有自信地在眾人前進行簡報；
6. 自我學習能力強，希望在大數據和商業智慧領域長期發展。

   公司的官網地址 ： www.dataondemand.cn，歡迎您登陸瞭解。
     德昂公司邀請有志商務智慧大業的青年志士加入我們的團隊。德昂是MSTR大中華區最大總代理和解決方案提供商，專注於行銷BI，財務BI，移動BI，資料視覺化和企業BI，公司過去三年年均成長率超過50%，並持續盈利。目前擁有諸如新東方，和訊財經，外貿信託，海底撈，恒昌利通，味全，新華保險，富士康，Sisley, 中廣核等超過100家的知名客戶。公司業務模式除產品銷售，人力派遣，技術服務，專案實施外，也在逐步引入高端大資料分析諮詢，各類BI應用模組的開發，以及BI培訓認證等增值業務。
       德昂公司每年50%以上增長，面向金融，能源，企業，零售等行業客戶，專注移動商務智慧應用開發，擁有自主智慧財產權，獨特的企業文化， 致力建設幸福企業。建立有趣活潑的工作氛圍。附上我們的企業文化簡介給您參考 :  http://www.dataondemand.cn/content.aspx?page=deangwenhua  
     德昂公司的願景 ：
•	造就幸福企業，讓工作成為有趣的事。
•	成為BI領域最專業的服務提供, 應用開發, 和產品銷售公司。
•	致力提升產業能力，建立產業標準，發展良好產業生態。
•	成為雲服務，大資料分析，移動應用，互聯網產業的重要參與者和推動者。
     德昂公司的福利 ：
•	 有競爭力的薪酬；
•	 正式員工七險一金（臺灣勞健保）
•	 員工旅遊
•	 員工宿舍（北京）
•	 彈性調班、不刷卡考勤制度等。
德昂目前正在臺北，上海，北京和深圳四個地方擴大招才，急需业务，市场营销，BI技术，项目管理，需求设计等领域人才，如果您有相關領域的朋友也正在尋找機會，歡迎推薦，非常感謝。"
63,64,雲端互動股份有限公司,Sr. .Net Developer,"Responsibilities:
·               Develop back-end systems in C#.NET
·               Design, configure, and administer platforms in Microsoft Azure
·               Communicate directly with US-based engineers in English
·               Develop micro-service architectures and participate in enterprise architecture planning
·               Provide leadership to other engineers and the team. ",大學以上,"Responsibilities:
·               Develop back-end systems in C#.NET
·               Design, configure, and administer platforms in Microsoft Azure
·               Communicate directly with US-based engineers in English
·               Develop micro-service architectures and participate in enterprise architecture planning
·               Provide leadership to other engineers and the team. []Requirements:
·       5+ Years of experience in a professional software development environment.
·       3+ Years developing in C#.NET Environments
·       3+ Years developing Azure platforms
·       BS in Computer Science
·       MCSE, or one or more Microsoft Developer or Solutions Architect Certifications
·       Ability to communicate effectively in English.

Nice to Haves:
·       Experience in Angular or React
·       Experience in Python
·       Data Science, AI, or Security certifications"
64,65,易勝資訊股份有限公司,SAP 顧問,"擔任SAP Consultant, 熟悉下列任一產品
- SuccessFactors
- FIN CO
- SCM PS",大學、碩士,"擔任SAP Consultant, 熟悉下列任一產品
- SuccessFactors
- FIN CO
- SCM PS[]"
65,66,鼎順數位科技有限公司,資料庫管理工程師 【需具經驗 / 薪資依能力面談調整】,"工作內容：
1.資料庫日常維護、監控維護、異常處理、安全管理、數據備份、MySQL權限管理及分配。
2.資料庫架構規劃，效能資料收集與調校，資料庫參數調優及性能的優化，提供最佳的資訊系統服務。
3.支援其他部門工作 

【加分條件】 
1.熟悉Linux操作系統，熟悉Shell腳本編程及常用Linux系統管理命令。
2.具有資料庫開發經驗及存儲過程編寫能力者佳。

上班時間：
9:00 ~ 18:00
中午午休：
12:00 ~ 13:00
",大學以上,"工作內容：
1.資料庫日常維護、監控維護、異常處理、安全管理、數據備份、MySQL權限管理及分配。
2.資料庫架構規劃，效能資料收集與調校，資料庫參數調優及性能的優化，提供最佳的資訊系統服務。
3.支援其他部門工作 

【加分條件】 
1.熟悉Linux操作系統，熟悉Shell腳本編程及常用Linux系統管理命令。
2.具有資料庫開發經驗及存儲過程編寫能力者佳。

上班時間：
9:00 ~ 18:00
中午午休：
12:00 ~ 13:00
[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001001020', 'description': 'Shell'}, {'code': '12001004032', 'description': 'MySQL'}]"
66,67,泰瑩科技股份有限公司,系統工程師,"1.負責WMware虛擬化相關產品(vSphere/VDI)的客戶端技術服務，包括安裝建置、故障排
   除、維護服務等。
2.負責VMware、Server、Storage、Networking等相關產品之安裝及技術支援。
3.Windows伺服器作業系統安裝整合(AD/SQL DB)之軟體、硬體安裝、操作及管理。
4.系統建置、測試、驗收之SOP程序或相關文件撰寫。
5.學習各項產品運用的技術，協助客戶端相關產品的服務與維運。",大學、碩士,"1.負責WMware虛擬化相關產品(vSphere/VDI)的客戶端技術服務，包括安裝建置、故障排
   除、維護服務等。
2.負責VMware、Server、Storage、Networking等相關產品之安裝及技術支援。
3.Windows伺服器作業系統安裝整合(AD/SQL DB)之軟體、硬體安裝、操作及管理。
4.系統建置、測試、驗收之SOP程序或相關文件撰寫。
5.學習各項產品運用的技術，協助客戶端相關產品的服務與維運。[]具備Microsoft MCTS、MCITP或VMware VCP、CISCO CCNA/CCNP 優先錄用。"
67,68,台灣大哥大股份有限公司,I202 資料庫軟體工程師,"1. Open Source (Docker、Redis、ELK等) 架構規劃與管理
2. Oracle 資料庫管理
3. Java 軟體平台管理
4. 專案的規劃管理
5. 資通安全法符規設計
6. 雲端架構規劃

【薪資待遇】：月薪31,000元-53,000元，依績效另有豐厚年終獎金與員工紅利。",大學、碩士,"1. Open Source (Docker、Redis、ELK等) 架構規劃與管理
2. Oracle 資料庫管理
3. Java 軟體平台管理
4. 專案的規劃管理
5. 資通安全法符規設計
6. 雲端架構規劃

【薪資待遇】：月薪31,000元-53,000元，依績效另有豐厚年終獎金與員工紅利。[{'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004035', 'description': 'Oracle'}]1. 具Oracle資料庫及Java Middleware維運管理能力
2. 具備Java、Python撰寫能力
3. 具開源軟體或公有雲架構管理經驗
4. 有專案管理經驗"
68,69,香港商福維克樂智有限公司台灣分公司,資訊系統分析師,"1.支援既有ERP系統日常作業
2.訪談及繪製既有作業流程
3.支援導入SAP 相關係統
4.主管交辦事項 
",專科、大學,"1.支援既有ERP系統日常作業
2.訪談及繪製既有作業流程
3.支援導入SAP 相關係統
4.主管交辦事項 
[]1. 具邏輯思考能力
3. 具SAP使用經驗
4. 熟悉MS Office
5. 細心、溝通能力佳
6. 具英語聽、說、讀、寫能力
"
69,70,博暉科技股份有限公司,資產管理系統開發人才C#(AM),"1. 負責金融軟體系統之程式設計與開發coding
2. 團隊合作開發方式，專業領域及knowhow會有專人帶領進學習
3. 升遷管道順暢，會依個人專長及能力安排適合的工作內容",大學以上,"1. 負責金融軟體系統之程式設計與開發coding
2. 團隊合作開發方式，專業領域及knowhow會有專人帶領進學習
3. 升遷管道順暢，會依個人專長及能力安排適合的工作內容[{'code': '12001003009', 'description': 'C#'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001004038', 'description': 'PL/SQL'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004032', 'description': 'MySQL'}]1. 態度積極 、具有熱忱、願意學習，期望不斷提升自我能力者
2. 商業相關科系畢業者或學過初級會計者佳，無工作經驗可
3. 熟資料庫 SQL Server  or  Oracle 相關經驗者佳
4. 細心、負責任、樂於溝通與分享、優良的團隊合作者"
70,71,台灣大哥大股份有限公司,E124 雲端產品服務運維工程師,"1.系統維運: Linux、Windows
2.虛擬平台維運管理: VMWARE、Xen
3.儲存設備管理: EMC、NetAPP
4.備份系統管理
5.資料庫管理: Oracle
【薪資待遇】月薪31,000元-53,000元，依績效另有豐厚年終獎金與員工紅利",大學以上,"1.系統維運: Linux、Windows
2.虛擬平台維運管理: VMWARE、Xen
3.儲存設備管理: EMC、NetAPP
4.備份系統管理
5.資料庫管理: Oracle
【薪資待遇】月薪31,000元-53,000元，依績效另有豐厚年終獎金與員工紅利[]1.熟悉作業系統維運：Linux、Windows 
2.熟悉儲存設備維運：EMC、NetAPP
3.熟悉虛擬平台維運：VMWARE、Xen
4.具備備份服務、網頁服務、郵件服務、監控系統..等建置與維運經驗"
71,72,星翔數位有限公司,資料庫數據處理專員,"1.	SQL資料庫系統規劃、架設、管理、維護。優化資料庫架構
2.	使用SQL查詢數據、定期彙整日常行銷與營運數據報表與視覺化呈現
3.	建立運營數據分析指標 (流量、轉換等運營相關)，並進行觀察分析與提供行動建議。
4.	行銷計劃與工具之追蹤與成效評估，用以優化行銷策略與資源分配。
5. 進行使用者行為分析，釐清與探討並掌握使用者行為。",大學以上,"1.	SQL資料庫系統規劃、架設、管理、維護。優化資料庫架構
2.	使用SQL查詢數據、定期彙整日常行銷與營運數據報表與視覺化呈現
3.	建立運營數據分析指標 (流量、轉換等運營相關)，並進行觀察分析與提供行動建議。
4.	行銷計劃與工具之追蹤與成效評估，用以優化行銷策略與資源分配。
5. 進行使用者行為分析，釐清與探討並掌握使用者行為。[{'code': '12001004032', 'description': 'MySQL'}, {'code': '12001008003', 'description': 'Excel'}]1.	具備資料庫規劃、架設，管理、維護經驗，具備MCSA證照者佳 
2.	對資料分析有興趣，具備統計及數據挖掘方法的知識與實務經驗，如：分類分群、推薦、回歸、建模等。
3.	具備Tableau/PowerBI等BI分析工具使用經驗者佳
4.	個性主動積極、高EQ、善溝通、重團隊、有責任心
5.	具備PHP/HTML/Python/R 等相關程式工具者佳 
"
72,73,新北大眾捷運股份有限公司,資訊助理工程員,"1.	資訊及專案招標、履約管理及監造等採購業務。
2.	資訊設備及資安制度之規劃、建置及執行。
3.	其他主管指派及交辦事項。
4.	需配合特定專案時間於部分例假日出勤。",大學、碩士,"1.	資訊及專案招標、履約管理及監造等採購業務。
2.	資訊設備及資安制度之規劃、建置及執行。
3.	其他主管指派及交辦事項。
4.	需配合特定專案時間於部分例假日出勤。[]一、資工、資管、通訊等相關院所畢業，研究所畢業者需具1年以上相關工作經驗；大學畢業者需具3年以上相關工作。
二、具交通運輸、軌道機關(構)資訊委外、勞務或工程採購相關工作經驗，熟諳輕軌營運事務尤佳。
三、具政府採購專業人員證照。"
73,74,安聯人壽保險股份有限公司(總公司),"資訊部-Oracle Form, PL/SQL Developer","◎職位目的:
-開發及維護人壽保險新契約核心系統
-數位工具後端系統支援

◎重要職責/工作內容:
-新契約核心系統開發包含(需求訪談、系統規格撰寫、程式設計開發、系統測試)
-新契約核心系統維護包含(日常維護作業、弱點修補、系統問題處理及修復、系統修改及測試)
-數位工具支援包含(行動投保進件處理、各類查詢功能資料提供及API撰寫)",大學、碩士,"◎職位目的:
-開發及維護人壽保險新契約核心系統
-數位工具後端系統支援

◎重要職責/工作內容:
-新契約核心系統開發包含(需求訪談、系統規格撰寫、程式設計開發、系統測試)
-新契約核心系統維護包含(日常維護作業、弱點修補、系統問題處理及修復、系統修改及測試)
-數位工具支援包含(行動投保進件處理、各類查詢功能資料提供及API撰寫)[{'code': '12001002006', 'description': 'Oracle Forms'}, {'code': '12001004038', 'description': 'PL/SQL'}]*具PL/SQL程式開發相關經驗1-3年由佳"
74,75,阿物股份有限公司,"Site Reliability Engineering, SRE 工程師 (台北)","【 在 awoo 的 SRE 目標 】

awoo 不再是以過去舊的思維來從事 DevOps 工作，在未來更多創新的思維下，我們擁抱更好的改變，並在變化與穩定中取得最佳平衡。而 Site Reliability Engineer 須自我定位成如何透過雲端最新技術來帶領 awoo 業務成長，讓產品開發能穩健且迅速的進行設計流程，從完成測試到整體部署，快速反應客戶需求。讓 awoo 企業資源運用效率提升，以實踐 ITaaS ( IT 即服務）自動化維運管理的目標，讓 SRE 能更專注在如何提升企業平台的效能優化。

【 在 awoo 的 SRE 都要做什麼？ 】

目前以 Google Cloud Platform (GCP) 雲端運算平台為主，同時擁有 IDC 機房 VM 虛擬環境與 Container 容器環境的協同運作方式。

* 主要工作項目：

1. 協助維護公司 SaaS 產品服務的運作穩定，透過 GCP 雲端來管理 SaaS 所有服務。
2. 協助軟硬體資訊系統的運作及 IDC 資料中心設備維護，Mail Server 系統建置維護。
3. 協助解決 RD 開發工程師的開發流程，包含 CI/CD 環境建置，部署流程支援，測試流程支援。
4. 透過自動化工具來進行整個資訊系統維運工作（ Online + Stage + Dev ）。
5. 協助搜爬系統（VM）的基本維護。

* 次要工作項目：

1. 軟硬體資訊系統的建置與維修及問題排除。

【在 awoo 的 SRE 會接觸到哪些進階知識？】

1. Google Cloud Platform（GCP）
2. DevOps + CI / CD
3. Security
4. ITaaS
5. SaaS
6. Automation
",專科以上,"【 在 awoo 的 SRE 目標 】

awoo 不再是以過去舊的思維來從事 DevOps 工作，在未來更多創新的思維下，我們擁抱更好的改變，並在變化與穩定中取得最佳平衡。而 Site Reliability Engineer 須自我定位成如何透過雲端最新技術來帶領 awoo 業務成長，讓產品開發能穩健且迅速的進行設計流程，從完成測試到整體部署，快速反應客戶需求。讓 awoo 企業資源運用效率提升，以實踐 ITaaS ( IT 即服務）自動化維運管理的目標，讓 SRE 能更專注在如何提升企業平台的效能優化。

【 在 awoo 的 SRE 都要做什麼？ 】

目前以 Google Cloud Platform (GCP) 雲端運算平台為主，同時擁有 IDC 機房 VM 虛擬環境與 Container 容器環境的協同運作方式。

* 主要工作項目：

1. 協助維護公司 SaaS 產品服務的運作穩定，透過 GCP 雲端來管理 SaaS 所有服務。
2. 協助軟硬體資訊系統的運作及 IDC 資料中心設備維護，Mail Server 系統建置維護。
3. 協助解決 RD 開發工程師的開發流程，包含 CI/CD 環境建置，部署流程支援，測試流程支援。
4. 透過自動化工具來進行整個資訊系統維運工作（ Online + Stage + Dev ）。
5. 協助搜爬系統（VM）的基本維護。

* 次要工作項目：

1. 軟硬體資訊系統的建置與維修及問題排除。

【在 awoo 的 SRE 會接觸到哪些進階知識？】

1. Google Cloud Platform（GCP）
2. DevOps + CI / CD
3. Security
4. ITaaS
5. SaaS
6. Automation
[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001002016', 'description': 'Github'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001004041', 'description': 'RDBMS'}, {'code': '12001005023', 'description': 'AWS'}, {'code': '12001007018', 'description': 'DNS'}, {'code': '12001007022', 'description': 'Firewall'}, {'code': '12001007045', 'description': 'Load Balancing'}, {'code': '12001007071', 'description': 'TCP/IP'}]【awoo SRE 需要的基礎能力】

1. 資訊科系畢業或同等相關經驗，需熟悉 Linux 系統。
2. 至少 2 年以上網路與作業系統管理及系統建置執行系統建構維運等經驗。
3. 需要了解基礎雲端 VPS 該如何建置服務，以及實體機房架構，混合雲。
4. 需具備基礎系統、架構規劃、雲端技術、資料庫、開源技術等知識。
5. 熟悉 Apache / Nginx 等 Web Server 經驗。

【awoo SRE 的加分項目】

1. 具備網路通訊協定與熟悉 Router / Switch 及防火牆規劃、建置經驗佳。
2. 具有 High Availability / Cluster / Load Balance 系統架構概念佳。
3. 具備公有雲使用經驗或是私有雲建置經驗佳，如：Google Cloud Platform, Amazon Web Services。
4. 熟悉 Kubernetes, Docker Container 容器管理經驗佳。
5. 熟悉自動化管理工具如 Shell Script, Ansible, Salt 經驗者佳。
6. 架設過基礎資料庫系統（ MySQL or MongoDB or Redis ）經驗者佳。"
75,76,捷智商訊科技股份有限公司,.NET程式設計師,"	主要工作內容包括:
        *參與開發與維護 ASP.NET C#系統。
	*進行既有產品之持續優化與新功能開發。
	*產品與系統之佈署與相關測試。

	基本技能需求:
        *熟悉C#或至少一種主流Object-oriented語言。
 	*需具備資料庫使用經驗，熟悉MS SQL者佳。
        *了解HTML、Java Script、CSS等Web相關開發技術。
",專科、大學、碩士,"	主要工作內容包括:
        *參與開發與維護 ASP.NET C#系統。
	*進行既有產品之持續優化與新功能開發。
	*產品與系統之佈署與相關測試。

	基本技能需求:
        *熟悉C#或至少一種主流Object-oriented語言。
 	*需具備資料庫使用經驗，熟悉MS SQL者佳。
        *了解HTML、Java Script、CSS等Web相關開發技術。
[{'code': '12001003006', 'description': 'ASP.NET'}, {'code': '12001003009', 'description': 'C#'}, {'code': '12001006013', 'description': 'HTML'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006032', 'description': 'CSS'}]加分項目:
 *2年以上C# Web Application或是C# API Service開發經驗。
 *熟悉Entity framework與LINQ。
 *熟悉Knockout.js或其他MVVM、MVC前端框架。
 *具TFS或其他版控軟體使用經驗。

個人特質:
 *對開發有高度熱誠，追求優良的程式品質。
 *善用技術知識且學習能力佳。
 *Team player，擁有正面積極的態度、良好的溝通能力與責任感。
"
76,77,中華系統整合股份有限公司,大數據-應用工程師,1. 熟悉開源解決方案整合應用 (如：Redis、ELK、MongoDB等)。,專科、大學、碩士,"1. 熟悉開源解決方案整合應用 (如：Redis、ELK、MongoDB等)。[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001005017', 'description': 'Vmware'}, {'code': '12001005023', 'description': 'AWS'}, {'code': '12001007071', 'description': 'TCP/IP'}]1.對資訊行業有高度興趣者，且業餘時間願意自修學習充實新知。
2.已具備Linux操作能力。
3.可配合臨時維運需求加班與輪值。
4.需有二年以上工作或實習經驗(行業不限)。
 5.能配合突發狀況外勤工作，不定期加班(配合者優先入取條件)
"
77,78,萬寶華企業管理顧問股份有限公司,派遣至LINE-Data Engineer 數據工程師 [115-83],"About this Job:
We are looking for a savvy Data Engineer with technical backgrounds in data system and platform development. The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. If you want to join a world-class data team, we look forward to hearing from you soon! 

Responsibilities:
•	Build and optimize data pipeline architecture with global platform
•	Automating manual processes, optimizing data delivery
•	Build analytics tool that utilize the data pipeline to provide insights to customer needs, operational efficiency and other key business performance metrics
•	Work closely with our development teams at Tokyo and Seoul
",大學以上,"About this Job:
We are looking for a savvy Data Engineer with technical backgrounds in data system and platform development. The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. If you want to join a world-class data team, we look forward to hearing from you soon! 

Responsibilities:
•	Build and optimize data pipeline architecture with global platform
•	Automating manual processes, optimizing data delivery
•	Build analytics tool that utilize the data pipeline to provide insights to customer needs, operational efficiency and other key business performance metrics
•	Work closely with our development teams at Tokyo and Seoul
[{'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}]Qualifications Required
1.	B.S. or M.S. Computer Science or related fields
2.	Fluent in English
3.	Experience with Java, Python, or other languages
4.	Some experience with big data tools or stream-processing systems: Hadoop, Spark, Kafka, Storm, Spark-streaming, etc
5.	Some experience with machine learning tools and libraries such as Scikit-learn, R, TensorFlow, PyTorch, Caffe2

Qualifications Preferred
1.	Analytic skills related to working with unstructured datasets
"
78,79,博暉科技股份有限公司,資產管理系統維護工程師(AM),"1. 負責金融軟體系統之程式維護與開發
2. 客戶服務：問題解決及諮詢，系統增修分析及開發
3. 團隊合作服務，專業領域及knowhow會有專人帶領進學習
4. 升遷管道順暢，會依個人專長及能力安排適合的工作內容",大學以上,"1. 負責金融軟體系統之程式維護與開發
2. 客戶服務：問題解決及諮詢，系統增修分析及開發
3. 團隊合作服務，專業領域及knowhow會有專人帶領進學習
4. 升遷管道順暢，會依個人專長及能力安排適合的工作內容[{'code': '12001003018', 'description': 'Delphi'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001004038', 'description': 'PL/SQL'}]1. 態度積極 、具有熱忱、願意學習，期望不斷提升自我能力者
2. 商業及資訊相關科系畢業者或學過初級會計者佳
3. 熟資料庫 SQL Server  or  Oracle 相關經驗者佳
4. 熟悉金融產品交易行為及評價方式者佳
5. 細心、負責任、樂於溝通與分享、優良的團隊合作者"
79,80,新加坡商立可人事顧問有限公司台灣分公司,FL-【科技】資安副理 (年1.4~1.8M),"1. 設計與執行重要商業秘密資料外洩的控管機制
2. 制定與管理人員對各種資料的使用權限
3. 辦理資訊安全維護及管理作業
4. 執行資訊安全專案-辦理滲透測試、資安健檢、弱點掃描、社交工程演練
5. 執行資訊安全每月自行查核，並配合內、外部資訊安全稽核查核作業及追蹤檢討
6. 資安事件分析、處理及回報
7. 規劃與執行全公司資訊安全教育訓練(具備資安課程開發經驗佳)",大學,"1. 設計與執行重要商業秘密資料外洩的控管機制
2. 制定與管理人員對各種資料的使用權限
3. 辦理資訊安全維護及管理作業
4. 執行資訊安全專案-辦理滲透測試、資安健檢、弱點掃描、社交工程演練
5. 執行資訊安全每月自行查核，並配合內、外部資訊安全稽核查核作業及追蹤檢討
6. 資安事件分析、處理及回報
7. 規劃與執行全公司資訊安全教育訓練(具備資安課程開發經驗佳)[]【經歷要求】
1. 具備企業營運流程與商業秘密保護制度建置經驗者尤佳
2. 擁有6年以上的滲透測試/弱點掃描相關工作經驗
3. 具Windows及Linux管理經驗與能力
4. 10年以上工作經驗(8年以上的資安相關工作)

【能力要求】
1. 熟悉弱點掃描相關工具, 例BurpSuite, AppScan, Nessus,自動化整合或自行開發腳本等
2. 跨設備日誌收容系統建置管理,ex. ELK、ArcSight 等實務經驗
3. Firewall, Switch, Web Proxy, Mail Gateway, 及網路安全設備(eg. IPS, WAF, UTM, USG, DLP等)之管理與維護
4. 具備良好分析與溝通協調能力，能自主作業
5. 對資安具有熱忱與責任感

【特殊技能/電腦能力】
具備 ISO 27001、CISSP、CEH、CHFI、ECSA或其他相關資訊安全證照者佳"
80,81,台灣大哥大股份有限公司,E128雲端產品運維工程師,"1.負責雲端產品IaaS、PaaS運維
2.負責雲端服務虛擬平臺運維，如vSphere、Hyper-V、KVM
3.上班地點: 台北市內湖/新北市三重
【薪資待遇】月薪31,000~53,000元，依績效另有豐厚年終獎金與員工紅利。",大學以上,"1.負責雲端產品IaaS、PaaS運維
2.負責雲端服務虛擬平臺運維，如vSphere、Hyper-V、KVM
3.上班地點: 台北市內湖/新北市三重
【薪資待遇】月薪31,000~53,000元，依績效另有豐厚年終獎金與員工紅利。[]1.熟悉TCP/IP網路通訊協定，取得CCNA、JNCIA認證者佳
2.熟悉虛擬化軟體的操作，如VMware or Hyper-V，取得VCP or Architecting Microsoft Azure Solutions認證者佳
3.熟悉微軟及Linux作業系統操作，取得微軟MCTS及Linux RHCE認證者佳
4.具IDC機房或電信機房一年以上運維經驗
5.具一年以上LAN網路運維經驗
6.具一年以上虛擬化平臺建置及運維經驗"
81,82,中華系統整合股份有限公司,(專案)系統維運工程師-[桃園],"(1)	網站系統管理、監控與自動化
(2)	網站系統障礙排除
(3)	維運文件撰寫
(4)	新技術導入評估與其他支援事項
",專科以上,"(1)	網站系統管理、監控與自動化
(2)	網站系統障礙排除
(3)	維運文件撰寫
(4)	新技術導入評估與其他支援事項
[]1.  1年以上資訊系統維運經驗
2.  熟悉Linux系統管理，CentOS尤佳
3.  熟悉AWS或hicloud者佳
"
82,83,小磨坊國際貿易股份有限公司,[總公司]ERP程式設計師,"1. 熟悉鼎新系統架構(Workflow ERP GP、Easy Flow) 。
2. 具系統規劃及推展系統的經驗。
3. 系統設計與開發。
4. 熟悉MS SQL 及T-SQL 語法。
5. 有良好的溝通能力。
6. 標準文件、手冊製作",專科、大學,"1. 熟悉鼎新系統架構(Workflow ERP GP、Easy Flow) 。
2. 具系統規劃及推展系統的經驗。
3. 系統設計與開發。
4. 熟悉MS SQL 及T-SQL 語法。
5. 有良好的溝通能力。
6. 標準文件、手冊製作[{'code': '12001003009', 'description': 'C#'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001008011', 'description': 'Outlook'}, {'code': '12001008016', 'description': 'Word'}, {'code': '12006001016', 'description': '鼎新'}] 善於溝通、專案管理尤佳"
83,84,燦坤實業股份有限公司,總部-資訊部-數據分析師,"【NOW…因應2020年起數位轉型專案啟動，擴大資訊本科與分析專才人員】 

【職務說明】
1.數據分析模型之開發與應用
2.數據應用平台之開發與導入
3.管理數據資料倉儲與應用平台

【職務條件】
1.熟悉資料庫之SQL語法及資料抽取/清理/轉換/載入…等ETL流程佳
2.熟悉資料庫(Oracle 或 MS SQL 或 PostgreSQL優先) 及具資料庫端開發經驗、OLAP 經驗
3.工作態度認真積極,具抗壓性",專科以上,"【NOW…因應2020年起數位轉型專案啟動，擴大資訊本科與分析專才人員】 

【職務說明】
1.數據分析模型之開發與應用
2.數據應用平台之開發與導入
3.管理數據資料倉儲與應用平台

【職務條件】
1.熟悉資料庫之SQL語法及資料抽取/清理/轉換/載入…等ETL流程佳
2.熟悉資料庫(Oracle 或 MS SQL 或 PostgreSQL優先) 及具資料庫端開發經驗、OLAP 經驗
3.工作態度認真積極,具抗壓性[{'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001004039', 'description': 'PostgreSQL'}]"
84,85,連宜股份有限公司,資訊專員(上班地點:前鎮),"1. ERP 流程開發、問題解決、系統設計撰寫 (程式語言不拘)。
2.  熟悉C#.NET WinForm, Crystal Report 開發技術,使用Visual Studio IDE開發環境。
3. 具Microsoft SQL Server 資料庫程式設計及維護管理能力。
4. 熟Windows Server,Linux及網路知識。


",專科以上,"1. ERP 流程開發、問題解決、系統設計撰寫 (程式語言不拘)。
2.  熟悉C#.NET WinForm, Crystal Report 開發技術,使用Visual Studio IDE開發環境。
3. 具Microsoft SQL Server 資料庫程式設計及維護管理能力。
4. 熟Windows Server,Linux及網路知識。


[{'code': '12001003006', 'description': 'ASP.NET'}, {'code': '12001003009', 'description': 'C#'}]1. 可獨立或與團隊合作，工作態度積極負責, 良好的溝通協調能力，能配合公司規定。
2. 具抗壓能力，能適應突發性事件所造成情況。

"
